Use Group,Use Header,Use Name,Use NAICS Code,NAICS Notes,NAICS to subtract,NAICS_Type,Zoning District,Permitted Value
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens",,,,0,R1,●P
I,Open Uses,Cemeteries,,,,0,R1,–
I,Open Uses,Golf courses,,,,0,R1,●
I,Open Uses,Outdoor racket courts,,,,0,R1,○
I,Open Uses,Outdoor skating rinks,,,,0,R1,○
I,Open Uses,#Public parks# or playgrounds or private parks,,,,0,R1,●
I,Open Uses,"Sand, gravel or clay pits",,,,0,R1,○
II,Residential Uses,#Single-family residence# #Detached#,,,,0,R1,●
II,Residential Uses,#Single-family residence# Other types,,,,0,R1,●P
II,Residential Uses,#Two-family residence# #Detached#,,,,0,R1,●P
II,Residential Uses,#Two-family residence# Other types,,,,0,R1,●P
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",,,,0,R1,●P
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,,,,0,R1,○
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates",,,,0,R1,●
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,,,,0,R1,●
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,,,,0,R1,●
III(A),Health Institutions and Facilities,#Long-term care facilities#,,,,0,R1,○
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,,,,0,R1,●P
III(A),Other Institutions and Facilities,Community centers or settlement houses with sleeping accommodations,,,,0,R1,●
III(A),Other Institutions and Facilities,Non-commercial clubs with sleeping accommodations,,,,0,R1,○
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,,,,0,R1,●S
III(B),Educational Institutions,"Colleges or universities, including professional schools but excluding business colleges or trade schools",,,,0,R1,○
III(B),Educational Institutions,#Schools#,,,,0,R1,●
III(B),Faith-based Institutions and Facilities,Houses of worship,,,,0,R1,●
III(B),Faith-based Institutions and Facilities,Parish houses without sleeping accommodations,,,,0,R1,●
III(B),Faith-based Institutions and Facilities,Seminaries without sleeping accommodations,,,,0,R1,●
III(B),Health Institutions and Facilities,Ambulatory diagnostic or treatment health care facilities,,,,0,R1,–
III(B),Health Institutions and Facilities,"Non-profit or voluntary hospitals and related facilities, except animal hospitals",,,,0,R1,●
III(B),Health Institutions and Facilities,"Proprietary hospitals and related facilities, except animal hospitals",,,,0,R1,–
III(B),Other Institutions and Facilities,Community centers or settlement houses without sleeping accommodations,,,,0,R1,●
III(B),Other Institutions and Facilities,Libraries,,,,0,R1,●
III(B),Other Institutions and Facilities,Museums,,,,0,R1,●
III(B),Other Institutions and Facilities,Non-commercial art galleries,,,,0,R1,●
III(B),Other Institutions and Facilities,Non-commercial clubs without sleeping accomodations,,,,0,R1,○
III(B),Other Institutions and Facilities,Non-commercial recreation centers,,,,0,R1,●
III(B),Other Institutions and Facilities,"Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities",,,,0,R1,●S
III(B),Other Institutions and Facilities,Welfare centers,,,,0,R1,○
IV(A),Public Service Buildings,Court houses,,,,0,R1,–
IV(A),Public Service Buildings,Fire or police stations,,,,0,R1,○
IV(A),Other Facilities,Prisons,,,,0,R1,–
IV(B),Communication Infrastructure,"Radio or television towers, non-#accessory#",,,,0,R1,○
